BIB,Name,Finished Time,Chip Pace (min/km),Rank Overall,Category Rank,Category
2695,CHETALI SETHI,02:49:29,00:08:02,4408of 5817,472of 710,30 to 34 yrs Female
2696,DHIRAJ SETHI,02:47:50,00:07:58,4328of 5817,3874of 5107,35 to 39 yrs Male
2697,PRIYABRATTA ACHARYA,02:46:14,00:07:53,4228of 5817,3789of 5107,40 to 44 yrs Male
2698,LAURA MANKER,01:51:48,00:05:18,742of 5817,35of 710,35 to 39 yrs Female
2699,ANIL JAISWAL,02:26:15,00:06:56,2992of 5817,2735of 5107,50 to 54 yrs Male
2700,KANWAR PAL SINGH,02:26:25,00:06:57,3009of 5817,2752of 5107,40 to 44 yrs Male
2702,RITUPARNO MUKHOPADHYAY,01:46:22,00:05:03,500of 5817,474of 5107,45 to 49 yrs Male
2703,ENAKSHI BHAGI,02:45:34,00:07:51,4194of 5817,432of 710,45 to 49 yrs Female
2705,SURESH VARANASI,02:11:46,00:06:15,1953of 5817,1816of 5107,45 to 49 yrs Male
2707,SACHIN GOYAL,02:39:50,00:07:35,3866of 5817,3484of 5107,40 to 44 yrs Male
2708,RAVI SACHDEVA,02:16:48,00:06:30,2311of 5817,2140of 5107,50 to 54 yrs Male
2713,NEETIN VERMA,02:00:33,00:05:43,1245of 5817,1170of 5107,40 to 44 yrs Male
2714,NITIN MALIK,01:59:32,00:05:40,1168of 5817,1103of 5107,35 to 39 yrs Male
2716,KANWARJOT SINGH,01:49:32,00:05:12,627of 5817,596of 5107,40 to 44 yrs Male
2717,SHASHANK SAINI,02:33:44,00:07:18,3479of 5817,3160of 5107,35 to 39 yrs Male
2718,ANKUR MAHESHWARI,02:07:43,00:06:04,1685of 5817,1570of 5107,35 to 39 yrs Male
2719,BARINDER SINGH,01:57:09,00:05:34,1011of 5817,958of 5107,45 to 49 yrs Male
2720,SAPNA DHULL,02:17:43,00:06:32,2383of 5817,181of 710,35 to 39 yrs Female
2721,DR BHARAT SINGH,03:13:24,00:09:11,5302of 5817,4690of 5107,50 to 54 yrs Male
2722,PULKIT GOEL,02:32:56,00:07:15,3436of 5817,3122of 5107,35 to 39 yrs Male
2723,ISHAN SHARMA,01:13:18,00:03:29,8of 5817,8of 5107,30 to 34 yrs Male
2724,REENU SHARMA,02:06:03,00:05:59,1574of 5817,103of 710,35 to 39 yrs Female
2725,AASHIM AHUJA,02:11:42,00:06:15,1946of 5817,1809of 5107,40 to 44 yrs Male
2726,SHOME ADVANI,02:03:14,00:05:51,1398of 5817,1312of 5107,25 to 29 yrs Male
2730,ACHINT CHOPRA,03:17:21,00:09:22,5405of 5817,4779of 5107,40 to 44 yrs Male
2731,GURPREET SINGH,02:34:24,00:07:20,3520of 5817,3196of 5107,55 to 59 yrs Male
2734,RAJESH JAIN,02:38:17,00:07:31,3772of 5817,3404of 5107,45 to 49 yrs Male
2735,TARUN MALHOTRA,02:41:03,00:07:38,3942of 5817,3543of 5107,40 to 44 yrs Male
2736,SALIL RAWAT,02:51:27,00:08:08,4511of 5817,4026of 5107,45 to 49 yrs Male
2737,LISA CHAKRABORTY,01:50:08,00:05:14,654of 5817,33of 710,40 to 44 yrs Female
2738,MONA GUPTA,02:24:15,00:06:51,2869of 5817,247of 710,50 to 54 yrs Female
2739,KRISHNA KHARI,03:32:30,00:10:05,5707of 5817,682of 710,50 to 54 yrs Female
2740,MANISH JAIN,02:46:36,00:07:54,4246of 5817,3806of 5107,40 to 44 yrs Male
2743,TARUN KUMAR SHARMA,03:01:36,00:08:37,4967of 5817,4419of 5107,30 to 34 yrs Male
2744,VIJAY RATHI,02:12:54,00:06:18,2029of 5817,1883of 5107,50 to 54 yrs Male
2745,RAJEEV VERMA,01:39:55,00:04:45,297of 5817,280of 5107,50 to 54 yrs Male
2746,VISHAL SINHA,02:36:13,00:07:25,3635of 5817,3292of 5107,40 to 44 yrs Male
2747,ARUN SARAF,02:35:27,00:07:23,3589of 5817,3249of 5107,60 to 64 yrs Male
2749,ANSHITA PAYASI,03:38:08,00:10:21,5747of 5817,688of 710,35 to 39 yrs Female
2750,MAITREYA NATU,02:19:21,00:06:37,2500of 5817,2309of 5107,40 to 44 yrs Male
2751,BANISH K JHA,02:16:05,00:06:27,2251of 5817,2085of 5107,45 to 49 yrs Male
2752,SUCHITRA RAJENDRA,02:41:41,00:07:40,3972of 5817,404of 710,50 to 54 yrs Female
2753,VIJAY BANSAL,02:31:07,00:07:10,3322of 5817,3031of 5107,30 to 34 yrs Male
2754,DHARMENDRA CHAUHAN,01:50:24,00:05:14,665of 5817,632of 5107,55 to 59 yrs Male
2755,SANJAY RAINA,02:26:19,00:06:57,3000of 5817,2743of 5107,50 to 54 yrs Male
2756,HARVINDER SINGH,02:06:29,00:06:00,1611of 5817,1505of 5107,45 to 49 yrs Male
2757,BHUPESH PANT,03:14:45,00:09:14,5330of 5817,4715of 5107,30 to 34 yrs Male
2759,VARUN KAUL,03:18:36,00:09:25,5434of 5817,4805of 5107,40 to 44 yrs Male
2761,BICHAYAN CHAKRABARTI,02:52:21,00:08:11,4555of 5817,4063of 5107,50 to 54 yrs Male
2763,SANDESH GANJOO,03:08:03,00:08:55,5166of 5817,587of 710,40 to 44 yrs Female
2764,CHANPREET SINGH,02:00:26,00:05:43,1235of 5817,1161of 5107,40 to 44 yrs Male
2765,VISHAL SINGH,01:49:18,00:05:11,613of 5817,585of 5107,50 to 54 yrs Male
2767,VINAY PRAJAPATI,02:42:31,00:07:43,4027of 5817,3616of 5107,30 to 34 yrs Male
2768,JASBIR KHANUJA,02:03:35,00:05:52,1427of 5817,1338of 5107,55 to 59 yrs Male
2770,SHIV SHANKAR SINGH,03:03:08,00:08:41,5019of 5817,4465of 5107,50 to 54 yrs Male
2771,SANJEEV GUPTA,02:11:27,00:06:14,1923of 5817,1787of 5107,45 to 49 yrs Male
2773,MUNISH MALHOTRA,02:23:50,00:06:50,2841of 5817,2596of 5107,45 to 49 yrs Male
2774,RAHUL AGARWAL,02:22:40,00:06:46,2758of 5817,2527of 5107,35 to 39 yrs Male
2775,AJAY SINGH,02:31:51,00:07:12,3375of 5817,3072of 5107,40 to 44 yrs Male
2776,PRAMOD BATRA,01:56:54,00:05:33,1001of 5817,948of 5107,55 to 59 yrs Male
2778,RAJIVE BATRA,03:25:09,00:09:44,5576of 5817,4925of 5107,65 to 69 yrs Male
2779,PANKAJ KHANNA,02:44:59,00:07:50,4157of 5817,3731of 5107,45 to 49 yrs Male
2780,SAHIL ARORA,02:20:19,00:06:40,2590of 5817,2388of 5107,35 to 39 yrs Male
2781,MELISSA WHITE,01:51:49,00:05:19,745of 5817,36of 710,45 to 49 yrs Female
2782,SANDEEP BHATNAGAR,02:14:41,00:06:23,2146of 5817,1987of 5107,55 to 59 yrs Male
2783,RADHIKA SINGAL,03:05:41,00:08:49,5090of 5817,568of 710,25 to 29 yrs Female
2784,PRAVEEN KUMAR,02:47:00,00:07:55,4273of 5817,3829of 5107,45 to 49 yrs Male
2785,SEEMA SHARMA,02:47:10,00:07:56,4284of 5817,448of 710,50 to 54 yrs Female
2787,PRITAM SACHDEVA,02:37:17,00:07:28,3720of 5817,3362of 5107,55 to 59 yrs Male
2789,TARANG KHURANA,01:42:00,00:04:51,358of 5817,339of 5107,25 to 29 yrs Male
2790,RAJAN DHAKAD,01:46:51,00:05:04,525of 5817,499of 5107,40 to 44 yrs Male
2791,ADITYA MITTAL,02:43:41,00:07:46,4092of 5817,3675of 5107,35 to 39 yrs Male
2793,JAINIK DEDHIA,02:55:54,00:08:21,4728of 5817,4213of 5107,30 to 34 yrs Male
2794,VAIBHAV AGWAN,02:27:19,00:06:59,3069of 5817,2809of 5107,50 to 54 yrs Male
2795,ABHISHEK KUNDAL,03:01:40,00:08:37,4970of 5817,4422of 5107,35 to 39 yrs Male
2796,ARVIND ACHARYA,03:17:10,00:09:21,5396of 5817,4773of 5107,55 to 59 yrs Male
