BIB,Name,Finished Time,Chip Pace (min/km),Rank Overall,Category Rank,Category
1065,SANJAY KABRA,03:56:35,00:05:37,928of 7194,888of 6528,45 to 49 yrs Male
1068,SAURABH PRADHAN,05:40:13,00:08:04,5601of 7194,5126of 6528,35 to 39 yrs Male
1072,ABHISHEK PATIL,05:45:20,00:08:12,5782of 7194,5287of 6528,25 to 29 yrs Male
1073,UMESH SONAVANE,05:14:14,00:07:27,4465of 7194,4119of 6528,50 to 54 yrs Male
1074,KAUSHIK PANCHAL,05:27:32,00:07:46,5064of 7194,4655of 6528,50 to 54 yrs Male
1080,JAYAKUMAR MUNIVEL,05:09:30,00:07:21,4271of 7194,3945of 6528,40 to 44 yrs Male
1082,ANAND PATIL,05:07:22,00:07:18,4174of 7194,3854of 6528,55 to 59 yrs Male
1086,BIBHULAL SINHA,04:57:41,00:07:04,3695of 7194,3425of 6528,50 to 54 yrs Male
1090,SACHIN JAIPRAKASH,04:20:00,00:06:10,1812of 7194,1707of 6528,35 to 39 yrs Male
1093,MANISH GULATI,03:54:33,00:05:34,843of 7194,810of 6528,45 to 49 yrs Male
1094,ATUL PATWARDHAN,04:01:49,00:05:44,1148of 7194,1095of 6528,40 to 44 yrs Male
1110,JYOTIN BHASIN,05:51:13,00:08:20,5991of 7194,5470of 6528,50 to 54 yrs Male
1111,BHASKER SHARMA,04:56:54,00:07:03,3649of 7194,3384of 6528,60 to 64 yrs Male
1112,DEEPTHA RAGHUNATH,04:18:20,00:06:08,1758of 7194,101of 666,30 to 34 yrs Female
1125,HIMANGI GODBOLE,03:46:54,00:05:23,613of 7194,26of 666,40 to 44 yrs Female
1127,LIJO ABRAHAM,05:36:03,00:07:58,5413of 7194,4963of 6528,30 to 34 yrs Male
1132,MANJUNATH RAMAKRISHNA,04:13:12,00:06:01,1542of 7194,1462of 6528,50 to 54 yrs Male
1134,KUNWAR SINGH,04:04:18,00:05:48,1233of 7194,1175of 6528,40 to 44 yrs Male
1135,SUBHAJIT SARKAR,05:50:02,00:08:18,5961of 7194,5443of 6528,40 to 44 yrs Male
1136,LIJU MATHEW,06:21:08,00:09:02,6678of 7194,6066of 6528,40 to 44 yrs Male
1137,NARAYANAN MUTHUSWAMY,03:59:06,00:05:40,1035of 7194,988of 6528,55 to 59 yrs Male
1138,AMIT PARASNIS,06:06:35,00:08:42,6423of 7194,5841of 6528,45 to 49 yrs Male
1140,ANIL VERMA,03:47:50,00:05:24,639of 7194,613of 6528,35 to 39 yrs Male
1143,RAVI VAITHYALINGAM,03:19:23,00:04:44,158of 7194,156of 6528,40 to 44 yrs Male
1145,SAVITA GUPTA,05:10:08,00:07:21,4302of 7194,329of 666,35 to 39 yrs Female
1147,SACHIN SHINDE,04:52:49,00:06:57,3460of 7194,3212of 6528,45 to 49 yrs Male
1149,RISHIKESH KAMAT,05:41:29,00:08:06,5650of 7194,5170of 6528,40 to 44 yrs Male
1153,SUKUMAR BANGERA,05:29:08,00:07:48,5146of 7194,4725of 6528,45 to 49 yrs Male
1154,CHANDRAKANT SATAM,05:16:27,00:07:30,4566of 7194,4207of 6528,55 to 59 yrs Male
1156,RAJESH GANDHI,05:37:18,00:08:00,5468of 7194,5012of 6528,50 to 54 yrs Male
1157,PRAVEEN KUMAR,03:23:12,00:04:49,187of 7194,184of 6528,40 to 44 yrs Male
1161,KRUNAL THAKKER,03:49:11,00:05:26,681of 7194,653of 6528,35 to 39 yrs Male
1163,ANURADHA VENKATARAMANAN,05:28:22,00:07:47,5106of 7194,416of 666,40 to 44 yrs Female
1164,RAJKUMAR REDDYPALLE,04:21:21,00:06:12,1885of 7194,1777of 6528,45 to 49 yrs Male
1172,KISHOR KUNAL,05:28:03,00:07:47,5094of 7194,4681of 6528,30 to 34 yrs Male
1179,SANDEEP RAI,05:43:41,00:08:09,5725of 7194,5237of 6528,45 to 49 yrs Male
1185,VIJAY SHARMA,04:33:42,00:06:30,2470of 7194,2310of 6528,40 to 44 yrs Male
1193,CHETAN PUJARY,04:28:35,00:06:22,2208of 7194,2069of 6528,45 to 49 yrs Male
1194,PRAJNA PUJARY,05:27:46,00:07:47,5078of 7194,412of 666,45 to 49 yrs Female
1203,PRASHANT GHOTIKAR,04:20:42,00:06:11,1852of 7194,1745of 6528,45 to 49 yrs Male
1205,SAILESH VISWANATHAN,05:38:34,00:08:02,5519of 7194,5056of 6528,45 to 49 yrs Male
1207,SUJATA RAYGADE,05:04:16,00:07:13,4030of 7194,303of 666,45 to 49 yrs Female
1210,PRAMOD DIVGI,04:55:13,00:07:00,3560of 7194,3300of 6528,35 to 39 yrs Male
1211,YOGESH RAWAT,03:58:44,00:05:40,1022of 7194,975of 6528,35 to 39 yrs Male
1212,SRINIVAS RAMANUJAM,03:52:29,00:05:31,776of 7194,746of 6528,45 to 49 yrs Male
1215,ALOK KOTHARI,03:30:44,00:05:00,299of 7194,287of 6528,50 to 54 yrs Male
1216,MAHESH ULLAL,04:39:55,00:06:39,2751of 7194,2566of 6528,50 to 54 yrs Male
1220,VIVEK BHARGAVA,04:00:38,00:05:43,1099of 7194,1049of 6528,40 to 44 yrs Male
1224,JANARDAN YADAV,05:09:09,00:07:20,4254of 7194,3928of 6528,40 to 44 yrs Male
1226,VIJAY KUMAR,04:31:03,00:06:26,2349of 7194,2196of 6528,45 to 49 yrs Male
1229,RAKESH AGLAWE,04:43:21,00:06:43,2942of 7194,2739of 6528,40 to 44 yrs Male
1230,YOGESH KHARPUDE,04:33:12,00:06:29,2446of 7194,2287of 6528,40 to 44 yrs Male
1232,CHINMAY HALANKAR,05:24:16,00:07:42,4928of 7194,4534of 6528,30 to 34 yrs Male
1237,HARMEET PADDA,03:29:36,00:04:59,280of 7194,269of 6528,30 to 34 yrs Male
1238,ABHISHEK PARIHAR,04:25:15,00:06:18,2052of 7194,1929of 6528,40 to 44 yrs Male
1239,SHYAM TALLAMRAJU,03:18:20,00:04:43,147of 7194,146of 6528,40 to 44 yrs Male
1240,SUMEET VIRMANI,04:19:40,00:06:10,1800of 7194,1696of 6528,50 to 54 yrs Male
1243,AMEY GODE,05:43:27,00:08:09,5716of 7194,5228of 6528,40 to 44 yrs Male
1245,VISHWAS GUND,04:44:02,00:06:44,2982of 7194,2777of 6528,60 to 64 yrs Male
